"horse_name","percentage"
"キングカメハメハ","0.5"
"Kingmambo","0.25"
"Mr. Prospector","0.125"
"Raise a Native","0.0625"
"Native Dancer","0.083984375"
"Raise You","0.03125"
"Gold Digger","0.0625"
"Nashua","0.03125"
"Sequence","0.03125"
"Miesque","0.125"
"Nureyev","0.0625"
"Northern Dancer","0.1171875"
"Special","0.03125"
"Pasadoble","0.0625"
"Prove Out","0.03125"
"Santa Quilla","0.03125"
"マンファス","0.25"
"ラストタイクーン","0.125"
"トライマイベスト","0.0625"
"Sex Appeal","0.03125"
"Mill Princess","0.0625"
"Mill Reef","0.03125"
"Irish Lass","0.03125"
"Pilot Bird","0.125"
"Blakeney","0.0625"
"Hethersett","0.03125"
"Windmill Girl","0.03125"
"The Dancer","0.0625"
"Green Dancer","0.03125"
"Khazaeen","0.03125"
"ラストグルーヴ","0.5"
"ディープインパクト","0.25"
"サンデーサイレンス","0.125"
"Halo","0.0625"
"Hail to Reason","0.03125"
"Cosmah","0.03125"
"Wishing Well","0.0625"
"Understanding","0.03125"
"Mountain Flower","0.03125"
"ウインドインハーヘア","0.125"
"Alzao","0.0625"
"Lyphard","0.03125"
"Lady Rebecca","0.03125"
"Burghclere","0.0625"
"Busted","0.03125"
"Highclere","0.03125"
"エアグルーヴ","0.25"
"トニービン","0.125"
"カンパラ","0.0625"
"Kalamoun","0.03125"
"State Pension","0.03125"
"Severn Bridge","0.0625"
"Hornbeam","0.046875"
"Priddy Fair","0.03125"
"ダイナカール","0.125"
"ノーザンテースト","0.0625"
"Lady Victoria","0.03125"
"シャダイフェザー","0.0625"
"ガーサント","0.03125"
"パロクサイド","0.03125"
"Polynesian","0.0419921875"
"Unbreakable","0.0205078125"
"Sickle","0.01171875"
"Phalaris","0.0380859375"
"Polymelus","0.0146484375"
"Bromus","0.0126953125"
"Selene","0.048828125"
"Chaucer","0.029296875"
"Serenissima","0.0205078125"
"Blue Glass","0.009765625"
"Prince Palatine","0.0068359375"
"Persimmon","0.001953125"
"Lady Lightfoot","0.0009765625"
"Hour Glass","0.0029296875"
"Rock Sand","0.0029296875"
"Hautesse","0.0009765625"
"Black Polly","0.0205078125"
"Polymelian","0.009765625"
"Cyllene","0.0029296875"
"Maid Marian","0.001953125"
"Pasquita","0.001953125"
