"horse_name","percentage"
"ハーツクライ","0.5"
"サンデーサイレンス","0.25"
"Halo","0.125"
"Hail to Reason","0.0625"
"Turn-to","0.046875"
"Nothirdchance","0.03125"
"Cosmah","0.0625"
"Cosmic Bomb","0.03125"
"Almahmoud","0.0390625"
"Wishing Well","0.125"
"Understanding","0.0625"
"Promised Land","0.03125"
"Pretty Ways","0.03125"
"Mountain Flower","0.0625"
"Montparnasse","0.03125"
"Edelweiss","0.03125"
"アイリッシュダンス","0.25"
"トニービン","0.125"
"カンパラ","0.0625"
"Kalamoun","0.03125"
"State Pension","0.03125"
"Severn Bridge","0.0625"
"Hornbeam","0.03125"
"Priddy Fair","0.03125"
"ビューパーダンス","0.125"
"Lyphard","0.0625"
"Northern Dancer","0.03125"
"Goofed","0.03125"
"My Bupers","0.0625"
"Bupers","0.046875"
"Princess Revoked","0.046875"
"ガヴィオラ","0.5"
"Cozzene","0.25"
"Caro","0.125"
"フォルティノ","0.0625"
"Grey Sovereign","0.0390625"
"Ranavalo","0.03125"
"Chambord","0.0625"
"Chamossaire","0.03125"
"Life Hill","0.03125"
"Ride the Trails","0.125"
"Prince John","0.0625"
"Princequillo","0.0546875"
"Not Afraid","0.03125"
"Wildwook","0.0625"
"Sir Gaylord","0.03125"
"Blue Canoe","0.0625"
"Forest Key","0.25"
"Green Forest","0.125"
"Shecky Greene","0.0625"
"Noholme","0.03125"
"Lester's Pride","0.03125"
"Tell Meno Lies","0.0625"
"The Axe","0.03125"
"Filatonga","0.03125"
"Lady Ann's Key","0.125"
"Key to the Kingdom","0.0625"
"Bold Ruler","0.03125"
"Key Bridge","0.03125"
"River Guide","0.0625"
"Drone","0.03125"
"Royal Charger","0.0234375"
"Nearco","0.046875"
"Pharos","0.033203125"
"Phalaris","0.0361328125"
"Polymelus","0.01953125"
"Bromus","0.017578125"
"Scapa Flow","0.021484375"
"Chaucer","0.025390625"
"Anchora","0.0087890625"
"Nogara","0.02734375"
"Havresac","0.0146484375"
"Rabelais","0.009765625"
"Hors Concours","0.005859375"
"Catnip","0.0126953125"
"Spearmint","0.0234375"
"Sibola","0.0048828125"
"Sun Princess","0.01171875"
"Solario","0.021484375"
"Gainsborough","0.05078125"
"Bayardo","0.02734375"
"Rosedrop","0.0244140625"
"Sun Worship","0.0107421875"
"Sundridge","0.0205078125"
"Doctrine","0.0048828125"
"Mumtaz Begum","0.033203125"
"Blenheim","0.0537109375"
"Blandford","0.029296875"
"Malva","0.025390625"
"Mumtaz Mahal","0.02734375"
"The Tetrarch","0.0244140625"
"Lady Josephine","0.015625"
"Source Sucree","0.0234375"
"Admiral Drake","0.01171875"
"Craig an Eran","0.0068359375"
"Sunstar","0.0126953125"
"Doris","0.0009765625"
"Maid of the Mist","0.00390625"
"Cyllene","0.0068359375"
"Sceptre","0.0009765625"
"Plucky Liege","0.029296875"
"Carbine","0.0048828125"
"Maid of the Mint","0.0048828125"
"Concertina","0.01171875"
"St. Simon","0.0146484375"
"Comic Song","0.001953125"
"Lavendula","0.01171875"
"Sweet Lavender","0.005859375"
"Swynford","0.025390625"
"John o'Gaunt","0.0087890625"
"Canterbury Pilgrim","0.0146484375"
"Marchetta","0.0029296875"
"Marco","0.005859375"
"Hettie Sorrel","0.0009765625"
"Blue Swords","0.015625"
"Blue Larkspur","0.052734375"
"Black Servant","0.0263671875"
"Black Toney","0.0224609375"
"Peter Pan","0.01171875"
"Belgravia","0.0087890625"
"Padula","0.0126953125"
"Laveno","0.00390625"
"Padua","0.0048828125"
"Blossom Time","0.0263671875"
"North Star","0.015625"
"Angelic","0.0048828125"
"Vaila","0.0166015625"
"Fariman","0.005859375"
"Padilla","0.005859375"
"Flaming Swords","0.0078125"
"Man o'War","0.037109375"
"Fair Play","0.0234375"
"Hastings","0.0087890625"
"Fairy Gold","0.01171875"
"Mahubah","0.0185546875"
"Rock Sand","0.013671875"
"Merry Token","0.0068359375"
"Exalted","0.00390625"
"High Time","0.0048828125"
"Ultimus","0.005859375"
"Noonday","0.001953125"
"Lady Comfey","0.001953125"
"Roi Herode","0.009765625"
"Snoot","0.0009765625"
"Galla Colors","0.015625"
"Sir Gallahad","0.0322265625"
"Teddy","0.0341796875"
"Ajax","0.013671875"
"Flying Fox","0.0009765625"
"Amie","0.0009765625"
"Rondeau","0.013671875"
"Bay Ronald","0.009765625"
"Doremi","0.0009765625"
"Rouge et Noir","0.0078125"
"St. Germans","0.00390625"
"Hamoaze","0.001953125"
"Torpoint","0.001953125"
"Baton Rouge","0.00390625"
"Baton","0.001953125"
"Hainault","0.005859375"
"Batanoea","0.0009765625"
"Pharamond","0.015625"
"Bona Vista","0.0009765625"
"Arcadia","0.0009765625"
"Maid Marian","0.0029296875"
"Hampton","0.0048828125"
"Quiver","0.0009765625"
"Sainfoin","0.0087890625"
"Springfield","0.0029296875"
"Sanda","0.0029296875"
"Cheery","0.00390625"
"Sunrise","0.0009765625"
"Selene","0.029296875"
"Galopin","0.005859375"
"St. Angela","0.001953125"
"Tristan","0.001953125"
"Pilgrimage","0.001953125"
"Serenissima","0.015625"
"Minoru","0.0087890625"
"Mother Siegel","0.0029296875"
"Gondolette","0.0068359375"
"Loved One","0.0029296875"
"Dongola","0.0029296875"
"Banish Fear","0.03125"
"Herodiade","0.015625"
"Over There","0.0078125"
"Summer Girl","0.00390625"
"Permission","0.001953125"
"Herodias","0.0078125"
"Vahren","0.0078125"
"Honora","0.00390625"
"Gallinule","0.0087890625"
"Word of Honour","0.001953125"
"Mahmoud","0.04296875"
"Blanche","0.01171875"
"White Eagle","0.0185546875"
"Black Cherry","0.005859375"
"Charles O'Malley","0.0107421875"
"Desmond","0.005859375"
"Goody Two-Shoes","0.00390625"
"Wild Arum","0.0107421875"
"Robert le Diable","0.00390625"
"Marliacea","0.00390625"
"Mah Mahal","0.021484375"
"Galicia","0.0087890625"
"St. Frusquin","0.009765625"
"Rosaline","0.0078125"
"Americus Girl","0.005859375"
"Arbitrator","0.01953125"
"Peace Chance","0.009765625"
"Chance Shot","0.0048828125"
"Quelle Chance","0.001953125"
"Ethelbert","0.0009765625"
"Qu'elle est Belle","0.0009765625"
"Peace","0.0048828125"
"Stefan the Great","0.0048828125"
"Perfect Peach","0.00390625"
"Memories","0.001953125"
"Wallflower","0.0009765625"
"Mother Goose","0.009765625"
"Chicle","0.0068359375"
"Lady Hamburg","0.0029296875"
"Hamburg","0.001953125"
"Lady Frivoles","0.0009765625"
"Flying Witch","0.0048828125"
"Broomstick","0.009765625"
"Ben Brush","0.0078125"
"Elf","0.001953125"
"Fly by Night","0.001953125"
"Dazzling","0.0009765625"
"Palestinian","0.015625"
"Sun Again","0.0078125"
"Sun Teddy","0.00390625"
"Sunmelia","0.001953125"
