"horse_name","percentage"
"リオンディーズ","0.5"
"キングカメハメハ","0.25"
"Kingmambo","0.125"
"Mr. Prospector","0.09375"
"Raise a Native","0.03125"
"Gold Digger","0.03125"
"Miesque","0.0625"
"Nureyev","0.03125"
"Pasadoble","0.03125"
"マンファス","0.125"
"ラストタイクーン","0.0625"
"トライマイベスト","0.03125"
"Mill Princess","0.03125"
"Pilot Bird","0.0625"
"Blakeney","0.03125"
"The Dancer","0.03125"
"シーザリオ","0.25"
"スペシャルウィーク","0.125"
"サンデーサイレンス","0.1875"
"Halo","0.09375"
"Wishing Well","0.09375"
"キャンペンガール","0.0625"
"マルゼンスキー","0.03125"
"レディーシラオキ","0.03125"
"キロフプリミエール","0.125"
"Sadler's Wells","0.0625"
"Northern Dancer","0.07421875"
"Fairy Bridge","0.03125"
"Querida","0.0625"
"Habitat","0.03125"
"Principia","0.03125"
"メイショウオウヒ","0.5"
"マンハッタンカフェ","0.25"
"Hail to Reason","0.1015625"
"Cosmah","0.0625"
"Understanding","0.0625"
"Mountain Flower","0.0625"
"サトルチェンジ","0.125"
"Law Society","0.0625"
"Alleged","0.03125"
"Bold Bikini","0.03125"
"Santa Luciana","0.0625"
"Luciano","0.03125"
"Suleika","0.03125"
"アルペンローズ","0.25"
"Kris S.","0.125"
"Roberto","0.0625"
"Bramalea","0.03125"
"Sharp Queen","0.0625"
"Princequillo","0.0517578125"
"Bridgework","0.03125"
"Amizette","0.125"
"フォーティナイナー","0.0625"
"File","0.03125"
"Courtly Dee","0.0625"
"Never Bend","0.0390625"
"Tulle","0.03125"
"Native Dancer","0.0341796875"
"Polynesian","0.0205078125"
"Unbreakable","0.009765625"
"Sickle","0.00390625"
"Phalaris","0.02734375"
"Selene","0.0244140625"
"Blue Glass","0.00390625"
"Prince Palatine","0.0048828125"
"Hour Glass","0.0009765625"
"Black Polly","0.009765625"
"Polymelian","0.0048828125"
"Polymelus","0.005859375"
"Pasquita","0.0009765625"
"Black Queen","0.00390625"
"Pompey","0.001953125"
"Black Maria","0.0009765625"
"Geisha","0.0166015625"
"Discovery","0.0107421875"
"Display","0.00390625"
"Fair Play","0.0087890625"
"Cicuta","0.0009765625"
"Ariadne","0.005859375"
"Light Brigade","0.0009765625"
"Adrienne","0.0009765625"
"Miyako","0.0078125"
"John P. Grier","0.0029296875"
"Whisk Broom","0.00390625"
"Wonder","0.0009765625"
"La Chica","0.0029296875"
"Sweep","0.001953125"
"La Grisette","0.0009765625"
"Raise You","0.015625"
"Case Ace","0.0078125"
"Teddy","0.0283203125"
"Ajax","0.01171875"
"Flying Fox","0.001953125"
"Amie","0.001953125"
"Rondeau","0.01171875"
"Bay Ronald","0.00390625"
"Doremi","0.001953125"
"Sweetheart","0.00390625"
"Ultimus","0.0029296875"
"Commando","0.0009765625"
"Running Stream","0.0009765625"
"Humanity","0.001953125"
"Voter","0.001953125"
"Red Cross","0.0009765625"
"Lady Glory","0.0078125"
"American Flag","0.00390625"
"Man o'War","0.0263671875"
"Mahubah","0.0068359375"
"Lady Comfey","0.005859375"
"Roi Herode","0.0009765625"
"Snoot","0.0009765625"
"Beloved","0.00390625"
"Broomstick","0.0029296875"
"Audience","0.0009765625"
"Bill and Coo","0.001953125"
"Helmet","0.0009765625"
