"horse_name","percentage"
"ハーツクライ","0.5"
"サンデーサイレンス","0.25"
"Halo","0.125"
"Hail to Reason","0.0625"
"Turn-to","0.03515625"
"Nothirdchance","0.03125"
"Cosmah","0.0625"
"Cosmic Bomb","0.03125"
"Almahmoud","0.0703125"
"Wishing Well","0.125"
"Understanding","0.0625"
"Promised Land","0.03125"
"Pretty Ways","0.03125"
"Mountain Flower","0.0625"
"Montparnasse","0.03125"
"Edelweiss","0.03125"
"アイリッシュダンス","0.25"
"トニービン","0.125"
"カンパラ","0.0625"
"Kalamoun","0.03125"
"State Pension","0.03125"
"Severn Bridge","0.0625"
"Hornbeam","0.03125"
"Priddy Fair","0.03125"
"ビューパーダンス","0.125"
"Lyphard","0.0625"
"Northern Dancer","0.09375"
"Goofed","0.03125"
"My Bupers","0.0625"
"Bupers","0.046875"
"Princess Revoked","0.046875"
"エリドゥバビロン","0.5"
"Bernstein","0.25"
"Storm Cat","0.125"
"Storm Bird","0.0625"
"South Ocean","0.03125"
"Terlingua","0.0625"
"Secretariat","0.03125"
"Crimson Saint","0.03125"
"La Affirmed","0.125"
"Affirmed","0.0625"
"Exclusive Native","0.03125"
"Won't Tell You","0.03125"
"La Mesa","0.0625"
"Round Table","0.03125"
"Finance","0.03125"
"Miss Suilleabhain","0.25"
"Silver Deputy","0.125"
"Deputy Minister","0.0625"
"Vice Regent","0.03125"
"Mint Copy","0.03125"
"Silver Valley","0.0625"
"Mr. Prospector","0.03125"
"Seven Valleys","0.03125"
"Tani","0.125"
"Theatrical","0.0625"
"Nureyev","0.03125"
"ツリーオブノレッジ","0.03125"
"Dahlia","0.0625"
"Vaguely Noble","0.03125"
"Charming Alibi","0.03125"
"Royal Charger","0.017578125"
"Nearco","0.072265625"
"Pharos","0.041015625"
"Phalaris","0.03515625"
"Polymelus","0.0166015625"
"Bromus","0.013671875"
"Scapa Flow","0.025390625"
"Chaucer","0.0263671875"
"Anchora","0.009765625"
"Nogara","0.03515625"
"Havresac","0.015625"
"Rabelais","0.009765625"
"Hors Concours","0.005859375"
"Catnip","0.015625"
"Spearmint","0.0185546875"
"Sibola","0.005859375"
"Sun Princess","0.0087890625"
"Solario","0.00390625"
"Gainsborough","0.048828125"
"Bayardo","0.0205078125"
"Rosedrop","0.01953125"
"Sun Worship","0.001953125"
"Sundridge","0.0068359375"
"Doctrine","0.0009765625"
"Mumtaz Begum","0.0283203125"
"Blenheim","0.037109375"
"Blandford","0.0205078125"
"Malva","0.015625"
"Mumtaz Mahal","0.0244140625"
"The Tetrarch","0.015625"
"Lady Josephine","0.01171875"
"Source Sucree","0.017578125"
"Admiral Drake","0.0087890625"
"Craig an Eran","0.0048828125"
"Sunstar","0.0087890625"
"Doris","0.0009765625"
"Maid of the Mist","0.0029296875"
"Cyllene","0.005859375"
"Sceptre","0.0009765625"
"Plucky Liege","0.025390625"
"Carbine","0.00390625"
"Maid of the Mint","0.00390625"
"Concertina","0.0078125"
"St. Simon","0.0107421875"
"Comic Song","0.001953125"
"Lavendula","0.0087890625"
"Sweet Lavender","0.00390625"
"Swynford","0.017578125"
"John o'Gaunt","0.0048828125"
"Canterbury Pilgrim","0.009765625"
"Marchetta","0.001953125"
"Marco","0.0029296875"
"Hettie Sorrel","0.0009765625"
"Blue Swords","0.015625"
"Blue Larkspur","0.041015625"
"Black Servant","0.01953125"
"Black Toney","0.01953125"
"Peter Pan","0.0146484375"
"Belgravia","0.0078125"
"Padula","0.0087890625"
"Laveno","0.0029296875"
"Padua","0.0029296875"
"Blossom Time","0.01953125"
"North Star","0.0126953125"
"Angelic","0.00390625"
"Vaila","0.0087890625"
"Fariman","0.0029296875"
"Padilla","0.0029296875"
"Flaming Swords","0.0078125"
"Man o'War","0.0283203125"
"Fair Play","0.0205078125"
"Hastings","0.0048828125"
"Fairy Gold","0.005859375"
"Mahubah","0.0126953125"
"Rock Sand","0.005859375"
"Merry Token","0.00390625"
"Exalted","0.00390625"
"High Time","0.005859375"
"Ultimus","0.005859375"
"Noonday","0.001953125"
"Lady Comfey","0.00390625"
"Roi Herode","0.005859375"
"Snoot","0.0009765625"
"Galla Colors","0.015625"
"Sir Gallahad","0.033203125"
"Teddy","0.0322265625"
"Ajax","0.009765625"
"Flying Fox","0.0009765625"
"Amie","0.0009765625"
"Rondeau","0.009765625"
"Bay Ronald","0.005859375"
"Doremi","0.0009765625"
"Rouge et Noir","0.0078125"
"St. Germans","0.00390625"
"Hamoaze","0.0029296875"
"Torpoint","0.001953125"
"Baton Rouge","0.00390625"
"Baton","0.001953125"
"Hainault","0.001953125"
"Batanoea","0.0009765625"
"Pharamond","0.017578125"
"Bona Vista","0.0009765625"
"Arcadia","0.0009765625"
"Maid Marian","0.001953125"
"Hampton","0.001953125"
"Quiver","0.0009765625"
"Sainfoin","0.00390625"
"Springfield","0.0009765625"
"Sanda","0.0009765625"
"Cheery","0.001953125"
"Sunrise","0.0009765625"
"Selene","0.0380859375"
"Galopin","0.0029296875"
"St. Angela","0.001953125"
"Tristan","0.001953125"
"Pilgrimage","0.001953125"
"Serenissima","0.0185546875"
"Minoru","0.0068359375"
"Mother Siegel","0.001953125"
"Gondolette","0.0048828125"
"Loved One","0.001953125"
"Dongola","0.001953125"
"Banish Fear","0.015625"
"Herodiade","0.0078125"
"Over There","0.00390625"
"Summer Girl","0.001953125"
"Permission","0.0009765625"
"Herodias","0.0078125"
"Vahren","0.00390625"
"Honora","0.0029296875"
"Gallinule","0.0029296875"
"Word of Honour","0.0009765625"
"Mahmoud","0.048828125"
"Blanche","0.0048828125"
"White Eagle","0.0048828125"
"Black Cherry","0.0009765625"
"Charles O'Malley","0.00390625"
"Desmond","0.00390625"
"Goody Two-Shoes","0.0009765625"
"Wild Arum","0.00390625"
"Robert le Diable","0.0009765625"
"Marliacea","0.0009765625"
"Mah Mahal","0.0234375"
"Galicia","0.0048828125"
"St. Frusquin","0.0048828125"
"Rosaline","0.0048828125"
"Americus Girl","0.00390625"
"Arbitrator","0.03515625"
"Peace Chance","0.017578125"
"Chance Shot","0.0078125"
"Quelle Chance","0.001953125"
"Ethelbert","0.0009765625"
"Qu'elle est Belle","0.0009765625"
"Peace","0.0078125"
"Stefan the Great","0.0029296875"
"Perfect Peach","0.0029296875"
"Memories","0.001953125"
"Wallflower","0.0009765625"
"Mother Goose","0.017578125"
"Chicle","0.009765625"
"Lady Hamburg","0.0029296875"
"Hamburg","0.0009765625"
"Lady Frivoles","0.0009765625"
"Flying Witch","0.0078125"
"Broomstick","0.009765625"
"Ben Brush","0.0048828125"
"Elf","0.001953125"
"Fly by Night","0.001953125"
"Dazzling","0.0009765625"
"Palestinian","0.015625"
"Sun Again","0.01171875"
"Sun Teddy","0.005859375"
