フリオーソ,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,ファーザ,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Baya,Nureyev,Northern Dancer
,,,,Special
,,,Barger,Riverman
,,,,Trillion
ユメハオオキク,アドマイヤオーラ,アグネスタキオン,サンデーサイレンス,Halo
,,,,Wishing Well
,,,アグネスフローラ,ロイヤルスキー
,,,,アグネスレディー
,,ビワハイジ,Caerleon,Nijinsky
,,,,Foreseer
,,,アグサン,Lord Gayle
,,,,Santa Luciana
,ニシノシャトル,タイキシャトル,Devil's Bag,Halo
,,,,Ballade
,,,ウェルシュマフィン,Caerleon
,,,,Muffitys
,,マックスエイト,シャンハイ,Procida
,,,,Korveya
,,,ジャッジムード,ジャッジアンジェルーチ
,,,,メルティングムード
