キングヘイロー,ダンシングブレーヴ,Lyphard,Northern Dancer,Nearctic
,,,,Natalma
,,,Goofed,Court Martial
,,,,Barra
,,Navajo Princess,Drone,Sir Gaylord
,,,,Cap and Bells
,,,Olmec,Pago Pago
,,,,Chocolate Beau
,グッバイヘイロー,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Pound Foolish,Sir Ivor,Sir Gaylord
,,,,Attica
,,,Squander,Buckpasser
,,,,Discipline
クイーンブルー,アドマイヤベガ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ベガ,トニービン,カンパラ
,,,,Severn Bridge
,,,アンティックヴァリュー,Northern Dancer
,,,,Moonscape
,イズミブルー,トウショウボーイ,テスコボーイ,Princely Gift
,,,,Suncourt
,,,ソシアルバターフライ,Your Host
,,,,Wisteria
,,ハイビューティ,ダンディルート,Luthier
,,,,Dentrelic
,,,カネツヨーキヒ,トサミドリ
,,,,クヰーンオブアイラント
