レッドスパーダ,タイキシャトル,Devil's Bag,Halo,Hail to Reason
,,,,Cosmah
,,,Ballade,Herbager
,,,,Miss Swapsco
,,ウェルシュマフィン,Caerleon,Nijinsky
,,,,Foreseer
,,,Muffitys,Thatch
,,,,Contrail
,バービキャット,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Barbarika,Bates Motel,Sir Ivor
,,,,Sunday Purchase
,,,War Exchange,Wise Exchange
,,,,Jungle War
バーニングベガ,ソングオブウインド,エルコンドルパサー,Kingmambo,Mr. Prospector
,,,,Miesque
,,,サドラーズギャル,Sadler's Wells
,,,,Glenveagh
,,メモリアルサマー,サンデーサイレンス,Halo
,,,,Wishing Well
,,,サマーワイン,トニービン
,,,,シヤダイマイン
,ホウヨウメイン,アドマイヤベガ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ベガ,トニービン
,,,,アンティックヴァリュー
,,メイトリアーク,Wavering Monarch,Majestic Light
,,,,Uncommitted
,,,Battle Creek Girl,His Majesty
,,,,Far Beyond
