エイシンフラッシュ,キングズベスト,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,Allegretta,Lombard,Agio
,,,,Promised Lady
,,,Anatevka,Espresso
,,,,Almyra
,ムーンレディ,プラティニ,Surumu,Literat
,,,,Surama
,,,Prairie Darling,Stanford
,,,,Prairie Belle
,,Midnight Fever,Sure Blade,Kris
,,,,Double Lock
,,,Majoritat,Konigsstuhl
,,,,Monacchia
マリスカ,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,マチカネレダ,デインヒル,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Razyana,His Majesty
,,,,Spring Adieu
,,Spanish Habit,Habitat,Sir Gaylord
,,,,Little Hut
,,,Donna Cressida,ドン
,,,,Cresca
