ノヴェリスト,Monsun,Konigsstuhl,Dschingis Khan,Tamerlane
,,,,Donna Diana
,,,Konigskronung,Tiepoletto
,,,,Kronung
,,Mosella,Surumu,Literat
,,,,Surama
,,,Monasia,Authi
,,,,Monacensia
,Night Lagoon,Lagunas,イルドブルボン,Nijinsky
,,,,Roseliere
,,,Liranga,Literat
,,,,Love In
,,Nenuphar,Night Shift,Northern Dancer
,,,,Ciboulette
,,,Narola,Nebos
,,,,Nubia
ミッキーオリーブ,クロフネ,フレンチデピュティ,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Mitterand,Hold Your Peace
,,,,Laredo Lass
,,ブルーアヴェニュー,Classic Go Go,Pago Pago
,,,,Classic Perfection
,,,Eliza Blue,Icecapade
,,,,コレラ
,インディスユニゾン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ラスティックベル,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Ragtime Girl,Francis S.
,,,,Swinging Doll
