ルーラーシップ,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,エアグルーヴ,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,ダイナカール,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,シャダイフェザー,ガーサント
,,,,パロクサイド
スターオブジュニパー,Sadler's Wells,Northern Dancer,Nearctic,Nearco
,,,,Lady Angela
,,,Natalma,Native Dancer
,,,,Almahmoud
,,Fairy Bridge,Bold Reason,Hail to Reason
,,,,Lalun
,,,Special,Forli
,,,,Thong
,Good Luck Charm,Caro,フォルティノ,Grey Sovereign
,,,,Ranavalo
,,,Chambord,Chamossaire
,,,,Life Hill
,,Zummerudd,Habitat,Sir Gaylord
,,,,Little Hut
,,,Ampulla,クラウンドプリンス
,,,,A. 1.
