モンテロッソ,Dubawi,Dubai Millennium,Seeking the Gold,Mr. Prospector
,,,,Con Game
,,,Colorado Dancer,Shareef Dancer
,,,,Fall Aspen
,,Zomaradah,Deploy,Shirley Heights
,,,,Slightly Dangerous
,,,Jawaher,ダンシングブレーヴ
,,,,High Tern
,Porto Roca,Barathea,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Brocade,Habitat
,,,,Canton Silk
,,Antelliere,Salieri,Accipiter
,,,,Hogan's Sister
,,,Anntelle,Loosen Up
,,,,Soft Quest
ハピネスフォーユー,A.P. Indy,Seattle Slew,Bold Reasoning,Boldnesian
,,,,Reason to Earn
,,,My Charmer,Poker
,,,,Fair Charmer
,,Weekend Surprise,Secretariat,Bold Ruler
,,,,Somethingroyal
,,,Lassie Dear,Buckpasser
,,,,Gay Missile
,Sophorific,デインヒル,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Razyana,His Majesty
,,,,Spring Adieu
,,Saucy Maid,Sure Blade,Kris
,,,,Double Lock
,,,Gay Milly,Mill Reef
,,,,Gaily
