キズナ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,キャットクイル,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Pacific Princess,Damascus,Sword Dancer
,,,,Kerala
,,,Fiji,Acropolis
,,,,Rififi
ダイシンパーティー,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,ダイシンシルビア,デヒア,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Sister Dot,Secretariat
,,,,Sword Game
,,Castle Creek,Sharpen Up,エタン
,,,,Rocchetta
,,,Godetia,Sir Ivor
,,,,Native Glitter
