オルフェーヴル,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,オリエンタルアート,メジロマックイーン,メジロティターン,メジロアサマ
,,,,シエリル
,,,メジロオーロラ,リマンド
,,,,メジロアイリス
,,エレクトロアート,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,グランマスティーヴンス,Lt. Stevens
,,,,Dhow
ティファニータッチ,Deputy Minister,Vice Regent,Northern Dancer,Nearctic
,,,,Natalma
,,,Victoria Regina,Menetrier
,,,,Victoriana
,,Mint Copy,Bunty's Flight,Bunty Lawless
,,,,Broomflight
,,,Shakney,Jabneh
,,,,Grass Shack
,Careless Heiress,Runaway Groom,Blushing Groom,Red God
,,,,Runaway Bride
,,,Yonnie Girl,Call the Witness
,,,,Po'chile
,,Duty Free,L'Emigrant,The Minstrel
,,,,Suprina
,,,Chatta,Native Royalty
,,,,Air Maid
