アサクサキングス,ホワイトマズル,ダンシングブレーヴ,Lyphard,Northern Dancer
,,,,Goofed
,,,Navajo Princess,Drone
,,,,Olmec
,,Fair of the Furze,Ela-Mana-Mou,ピットカーン
,,,,Rose Bertin
,,,Autocratic,Tyrant
,,,,Flight Table
,クルーピアスター,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,クルーピアレディー,What Luck,Bold Ruler
,,,,Irish Jay
,,,Question d'Argent,Tentam
,,,,Cold Reply
ヒカリベルサイユ,タニノギムレット,ブライアンズタイム,Roberto,Hail to Reason
,,,,Bramalea
,,,Kelley's Day,Graustark
,,,,Golden Trail
,,タニノクリスタル,クリスタルパレス,Caro
,,,,Hermieres
,,,タニノシーバード,Sea-Bird
,,,,Flaxen
,モンレーブ,タマモクロス,シービークロス,フォルティノ
,,,,ズイシヨウ
,,,グリーンシャトー,シャトーゲイ
,,,,クインビー
,,ユアーグレース,ハギノカムイオー,テスコボーイ
,,,,イツトー
,,,シヤレラ,Ragtime
,,,,Pushful
