グラスワンダー,Silver Hawk,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Gris Vitesse,Amerigo,Nearco
,,,,Sanlinea
,,,Matchiche,Mat de Cocagne
,,,,Chimere Fabuleuse
,Ameriflora,Danzig,Northern Dancer,Nearctic
,,,,Natalma
,,,Pas de Nom,Admiral's Voyage
,,,,Petitioner
,,Graceful Touch,His Majesty,Ribot
,,,,Flower Bowl
,,,Pi Phi Gal,Raise a Native
,,,,Soaring
ハイセンスガール,サクラバクシンオー,サクラユタカオー,テスコボーイ,Princely Gift
,,,,Suncourt
,,,アンジェリカ,ネヴァービート
,,,,スターハイネス
,,サクラハゴロモ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,クリアアンバー,Ambiopoise
,,,,One Clear Call
,ウッドマンドーター,Woodman,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,プレイメイト,Buckpasser
,,,,Intriguing
,,ポーリスタナ,Pretense,Endeavour
,,,,Imitation
,,,Near Me Now,Nearctic
,,,,Tempted
