エイシンフラッシュ,キングズベスト,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,Allegretta,Lombard,Agio
,,,,Promised Lady
,,,Anatevka,Espresso
,,,,Almyra
,ムーンレディ,プラティニ,Surumu,Literat
,,,,Surama
,,,Prairie Darling,Stanford
,,,,Prairie Belle
,,Midnight Fever,Sure Blade,Kris
,,,,Double Lock
,,,Majoritat,Konigsstuhl
,,,,Monacchia
セイラ,スパイキュール,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,クラフテイワイフ,Crafty Prospector,Mr. Prospector
,,,,Real Crafty Lady
,,,Wife Mistress,Secretariat
,,,,Political Payoff
,ナックオフィス,ジェネラス,Caerleon,Nijinsky
,,,,Foreseer
,,,Doff the Derby,Master Derby
,,,,Margarethen
,,ワールドマドンナ,サンプリンス,Princely Gift
,,,,Costa Sola
,,,マリーオーギ,ダンディルート
,,,,アコメオーギ
