マツリダゴッホ,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ペイパーレイン,Bel Bolide,Bold Bidder,Bold Ruler
,,,,High Bid
,,,Lady Graustark,Graustark
,,,,Inyala
,,フローラルマジック,Affirmed,Exclusive Native
,,,,Won't Tell You
,,,Rare Lady,Never Bend
,,,,Double Agent
マルターズクリス,シンボリクリスエス,Kris S.,Roberto,Hail to Reason
,,,,Bramalea
,,,Sharp Queen,Princequillo
,,,,Bridgework
,,Tee Kay,Gold Meridian,Seattle Slew
,,,,Queen Louie
,,,Tri Argo,Tri Jet
,,,,Hail Proudly
,マルターズスパーブ,With Approval,Caro,フォルティノ
,,,,Chambord
,,,Passing Mood,Buckpasser
,,,,Cool Mood
,,Primedex,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Conform,Blushing Groom
,,,,Petrologist
