ワールドエース,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,マンデラ,Acatenango,Surumu,Literat
,,,,Surama
,,,Aggravate,Aggressor
,,,,Raven Locks
,,Mandellicht,Be My Guest,Northern Dancer
,,,,What a Treat
,,,Mandelauge,Elektrant
,,,,Mandriale
ピントゥハティ,アドマイヤムーン,エンドスウィープ,フォーティナイナー,Mr. Prospector
,,,,File
,,,Broom Dance,Dance Spell
,,,,Witching Hour
,,マイケイティーズ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ケイティーズファースト,Kris
,,,,Katies
,シーサイドエンゼル,ジャッジアンジェルーチ,Honest Pleasure,What a Pleasure
,,,,Tularia
,,,Victorian Queen,Victoria Park
,,,,Willowfield
,,シャダイハマナス,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,ハマナスII,Lt. Stevens
,,,,ナッシングライクアダム
