エピファネイア,シンボリクリスエス,Kris S.,Roberto,Hail to Reason
,,,,Bramalea
,,,Sharp Queen,Princequillo
,,,,Bridgework
,,Tee Kay,Gold Meridian,Seattle Slew
,,,,Queen Louie
,,,Tri Argo,Tri Jet
,,,,Hail Proudly
,シーザリオ,スペシャルウィーク,サンデーサイレンス,Halo
,,,,Wishing Well
,,,キャンペンガール,マルゼンスキー
,,,,レディーシラオキ
,,キロフプリミエール,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Querida,Habitat
,,,,Principia
スポークンファー,Notebook,Well Decorated,Raja Baba,Bold Ruler
,,,,Missy Baba
,,,Paris Breeze,Majestic Prince
,,,,Tudor Jet
,,Mobcap,Tom Rolfe,Ribot
,,,,Pocahontas
,,,Cap and Bells,Tom Fool
,,,,Ghazni
,Siberian Fur,Siberian Express,Caro,フォルティノ
,,,,Chambord
,,,Indian Call,Warfare
,,,,La Morlaye
,,Siksika,Quack,T.V. Lark
,,,,Quillon
,,,Salmon Lake,Tom Fool
,,,,Kootenai
