ディープブリランテ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,ラヴアンドバブルズ,Loup Sauvage,Riverman,Never Bend
,,,,River Lady
,,,Louveterie,Nureyev
,,,,Lupe
,,バブルドリーム,Akarad,Labus
,,,,Licata
,,,バブルプロスペクター,Miswaki
,,,,バブルカンパニー
ミルテ,アフリート,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Polite Lady,Venetian Jester,Tom Fool
,,,,Venice
,,,Friendly Ways,Green Ticket
,,,,Ways to Learn
,カモンマイハウス,キャロルハウス,Lord Gayle,Sir Gaylord
,,,,Sticky Case
,,,Tuna,シルバーシャーク
,,,,Vimelette
,,メイクアウイッシュ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,メツシーナ,Secretariat
,,,,Aphonia
