ディープインパクト,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ウインドインハーヘア,Alzao,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Rebecca,Sir Ivor
,,,,Pocahontas
,,Burghclere,Busted,Crepello
,,,,Sans le Sou
,,,Highclere,Queen's Hussar
,,,,Highlight
ピュアゴシップ,Pure Prize,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Heavenly Prize,Seeking the Gold,Mr. Prospector
,,,,Con Game
,,,Oh What a Dance,Nijinsky
,,,,Blitey
,Dixieland Achiever,Dixieland Band,Northern Dancer,Nearctic
,,,,Natalma
,,,Mississippi Mud,Delta Judge
,,,,Sand Buggy
,,Thunder Achiever,Thunder Puddles,Speak John
,,,,Big Puddles
,,,Anthenian Girl,Noble Nashua
,,,,Marathon Girl
