フェノーメノ,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,ディラローシェ,デインヒル,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Razyana,His Majesty
,,,,Spring Adieu
,,Sea Port,Averof,Sing Sing
,,,,Argentina
,,,Anchor,Major Portion
,,,,Ripeck
カーリア,Carson City,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Blushing Promise,Blushing Groom,Red God
,,,,Runaway Bride
,,,Summertime Promise,Nijinsky
,,,,Prides Promise
,De Puntillas,Distant Relative,Habitat,Sir Gaylord
,,,,Little Hut
,,,Royal Sister,Claude
,,,,Ribasha
,,Enola,Ela-Mana-Mou,ピットカーン
,,,,Rose Bertin
,,,Come True,Nasram
,,,,パリジヤン
