アドマイヤマックス,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ダイナシュート,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,シヤダイマイン,ヒッティングアウェー,Ambiorix
,,,,Striking
,,,ファンシミン,Determine
,,,,Fanciful Miss
ジャングルヤマト,ジャングルポケット,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,ダンスチャーマー,Nureyev,Northern Dancer
,,,,Special
,,,Skillful Joy,Nodouble
,,,,Skillful Miss
,トップアサーティン,ウォーニング,Known Fact,In Reality
,,,,Tamerett
,,,Slightly Dangerous,Roberto
,,,,Where You Lead
,,アサーテイン,Assert,Be My Guest
,,,,Irish Bird
,,,Obeah,Cyane
,,,,Book of Verse
