ハーツクライ,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,アイリッシュダンス,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,ビューパーダンス,Lyphard,Northern Dancer
,,,,Goofed
,,,My Bupers,Bupers
,,,,Princess Revoked
ドバウィディエティ,Dubawi,Dubai Millennium,Seeking the Gold,Mr. Prospector
,,,,Con Game
,,,Colorado Dancer,Shareef Dancer
,,,,Fall Aspen
,,Zomaradah,Deploy,Shirley Heights
,,,,Slightly Dangerous
,,,Jawaher,ダンシングブレーヴ
,,,,High Tern
,Tanfidh,Marju,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Flame of Tara,アーテイアス
,,,,Welsh Flame
,,Wijdan,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Height of Fashion,Bustino
,,,,Highclere
