フェノーメノ,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,ディラローシェ,デインヒル,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Razyana,His Majesty
,,,,Spring Adieu
,,Sea Port,Averof,Sing Sing
,,,,Argentina
,,,Anchor,Major Portion
,,,,Ripeck
マダムルコント,メジロライアン,アンバーシャダイ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,クリアアンバー,Ambiopoise
,,,,One Clear Call
,,メジロチェイサー,メジロサンマン,Charlottesville
,,,,パラデイシア
,,,シエリル,スノッブ
,,,,Chanel
,フルーリール,アフリート,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Polite Lady,Venetian Jester
,,,,Friendly Ways
,,マダムラビューラ,ディクタス,Sanctus
,,,,Doronic
,,,ラビューラ,Never Bend
,,,,Bouillabaisse
