ロジユニヴァース,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,アコースティクス,Cape Cross,Green Desert,Danzig
,,,,Foreign Courier
,,,Park Appeal,Ahonoora
,,,,Balidaress
,,ソニンク,Machiavellian,Mr. Prospector
,,,,Coup de Folie
,,,Sonic Lady,Nureyev
,,,,Stumped
ベティフォーエバー,ブラックホーク,Nureyev,Northern Dancer,Nearctic
,,,,Natalma
,,,Special,Forli
,,,,Thong
,,シルバーレーン,Silver Hawk,Roberto
,,,,Gris Vitesse
,,,Strait Lane,Chieftain
,,,,Level Sands
,トリプルワウ,Coastal,Majestic Prince,Raise a Native
,,,,Gay Hostess
,,,Alluvial,Buckpasser
,,,,Bayou
,,Iva Reputation,Sir Ivor,Sir Gaylord
,,,,Attica
,,,Reputation,Hillary
,,,,Venturanza
