アンライバルド,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,バレークイーン,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Sun Princess,イングリッシュプリンス,Petingo
,,,,English Miss
,,,Sunny Valley,Val de Loir
,,,,Sunland
ハツネ,トウカイテイオー,シンボリルドルフ,パーソロン,Milesian
,,,,Paleo
,,,スイートルナ,スピードシンボリ
,,,,ダンスタイム
,,トウカイナチュラル,ナイスダンサー,Northern Dancer
,,,,Nice Princess
,,,トウカイミドリ,ファバージ
,,,,トウカイクイン
,オーロラテルコ,ミスターシービー,トウショウボーイ,テスコボーイ
,,,,ソシアルバターフライ
,,,シービークイン,トピオ
,,,,メイドウ
,,オーロラシロー,シンザン,ヒンドスタン
,,,,ハヤノボリ
,,,ヤノセイラン,タニノムーティエ
,,,,レデイロック
