キングズベスト,Kingmambo,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Miesque,Nureyev,Northern Dancer
,,,,Special
,,,Pasadoble,Prove Out
,,,,Santa Quilla
,Allegretta,Lombard,Agio,Tantieme
,,,,Aralia
,,,Promised Lady,Prince Chevalier
,,,,Belle Sauvage
,,Anatevka,Espresso,Acropolis
,,,,Babylon
,,,Almyra,Birkhahn
,,,,Alameda
クラウディア,マンハッタンカフェ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,サトルチェンジ,Law Society,Alleged
,,,,Bold Bikini
,,,Santa Luciana,Luciano
,,,,Suleika
,アローム,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,ストロークト,Riverman,Never Bend
,,,,River Lady
,,,Her B.,Time Tested
,,,,Cetyl
