ハタノヴァンクール,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,ハタノプリエ,ブライアンズタイム,Roberto,Hail to Reason
,,,,Bramalea
,,,Kelley's Day,Graustark
,,,,Golden Trail
,,ハヤベニコマチ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ターンツーダイナ,ノーザンテースト
,,,,ナイスランディング
ダイワカリエンテ,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,ソロリサイタル,Rahy,Blushing Groom,Red God
,,,,Runaway Bride
,,,Glorious Song,Halo
,,,,Ballade
,,Sole,Topsider,Northern Dancer
,,,,Drumtop
,,,Glisk,Buckpasser
,,,,Regal Gleam
