ローエングリン,シングスピール,In the Wings,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,ハイホーク,Shirley Heights
,,,,Sunbittern
,,Glorious Song,Halo,Hail to Reason
,,,,Cosmah
,,,Ballade,Herbager
,,,,Miss Swapsco
,カーリング,Garde Royale,Mill Reef,Never Bend
,,,,Milan Mill
,,,Royal Way,Sicambre
,,,,Right Away
,,Corraleja,Carvin,マリーノ
,,,,Coraline
,,,Darling Dale,Tyrant
,,,,Treat
オメガブルーライン,スウェプトオーヴァーボード,エンドスウィープ,フォーティナイナー,Mr. Prospector
,,,,File
,,,Broom Dance,Dance Spell
,,,,Witching Hour
,,Sheer Ice,Cutlass,Damascus
,,,,Aphonia
,,,Hey Dolly A.,Ambehaving
,,,,Swift Deal
,レイライン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,エルレイナ,Slew o' Gold,Seattle Slew
,,,,Alluvial
,,,エイプリルソネット,Dike
,,,,Pass Me
