キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Miesque,Nureyev,Northern Dancer
,,,,Special
,,,Pasadoble,Prove Out
,,,,Santa Quilla
,マンファス,ラストタイクーン,トライマイベスト,Northern Dancer
,,,,Sex Appeal
,,,Mill Princess,Mill Reef
,,,,Irish Lass
,,Pilot Bird,Blakeney,Hethersett
,,,,Windmill Girl
,,,The Dancer,Green Dancer
,,,,Khazaeen
ホクセツダンス,アグネスデジタル,Crafty Prospector,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Real Crafty Lady,In Reality
,,,,Princess Roycraft
,,Chancey Squaw,Chief's Crown,Danzig
,,,,Six Crowns
,,,Allicance,Alleged
,,,,Runaway Bride
,サイレントラヴ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ファーストラブ,ナイスダンサー,Northern Dancer
,,,,Nice Princess
,,,レディーシラオキ,セントクレスピン
,,,,ミスアシヤガワ
