ローズキングダム,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,ローズバド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ロゼカラー,Shirley Heights,Mill Reef
,,,,Hardiemma
,,,ローザネイ,Lyphard
,,,,Riviere Doree
セトノレンブランサ,Encosta de Lago,Fairy King,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Shoal Creek,Star Way,Star Appeal
,,,,New Way
,,,Rolls,Mr. Prospector
,,,,Grand Luxe
,Miss Chanel,Splendent,Shadeed,Nijinsky
,,,,Continual
,,,Sticky Habit,Habitat
,,,,Honey Portion
,,Ever Elegant,Steel Pulse,ダイアトム
,,,,Rachel
,,,Social Smile,Ennis
,,,,コティット
