スピルバーグ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,プリンセスオリビア,Lycius,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Lypatia,Lyphard
,,,,Hypatia
,,Dance Image,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Diamond Spring,Vaguely Noble
,,,,Dumfries
アンジェルブ,Tiznow,Cee's Tizzy,Relaunch,In Reality
,,,,Foggy Note
,,,テイズリー,Lyphard
,,,,Tizna
,,Cee's Song,Seattle Song,Seattle Slew
,,,,Incantation
,,,Lonely Dancer,ナイスダンサー
,,,,Sleep Lonely
,ペニーズフォーチュン,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Lovlier Linda,Vigors,Grey Dawn
,,,,Relifordie
,,,Linda Summers,Crozier
,,,,Queenly Gift
