ベルシャザール,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,マルカキャンディ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ジーナロマンティカ,セクレト,Northern Dancer
,,,,Betty's Secret
,,,Waya,Faraway Son
,,,,War Path
サンマディソン,シニスターミニスター,Old Trieste,A.P. Indy,Seattle Slew
,,,,Weekend Surprise
,,,Lovlier Linda,Vigors
,,,,Linda Summers
,,Sweet Minister,The Prime Minister,Deputy Minister
,,,,Stick to Beauty
,,,Sweet Blue,Hurry Up Blue
,,,,Sugar Gold
,チューベローズ,シンボリクリスエス,Kris S.,Roberto
,,,,Sharp Queen
,,,Tee Kay,Gold Meridian
,,,,Tri Argo
,,チューニー,サンデーサイレンス,Halo
,,,,Wishing Well
,,,フロムビヨンド,Kris
,,,,Magic of Life
