ジャスタウェイ,ハーツクライ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アイリッシュダンス,トニービン,カンパラ
,,,,Severn Bridge
,,,ビューパーダンス,Lyphard
,,,,My Bupers
,シビル,Wild Again,Icecapade,Nearctic
,,,,Shenanigans
,,,Bushel-n-Peck,Khaled
,,,,Dama
,,シャロン,Mo Exception,Hard Work
,,,,With Exception
,,,Double Wiggle,Sir Wiggle
,,,,Blue Double
ラインアンジュ,Rockport Harbor,Unbridled's Song,Unbridled,Fappiano
,,,,Gana Facil
,,,Trolley Song,Caro
,,,,Lucky Spell
,,Regal Miss Copelan,Copelan,Tri Jet
,,,,Susan's Girl
,,,Regal Pennant,Banner Bob
,,,,Regal Relation
,シャルマンダー,デヒア,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Sister Dot,Secretariat
,,,,Sword Game
,,Expressive Dance,Riva Ridge,First Landing
,,,,Iberia
,,,Exclusive Dancer,Native Dancer
,,,,Exclusive
