ヴィクトワールピサ,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,ホワイトウォーターアフェア,Machiavellian,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Coup de Folie,Halo
,,,,Raise the Standard
,,Much Too Risky,Bustino,Busted
,,,,Ship Yard
,,,Short Rations,Lorenzaccio
,,,,Short Commons
シガトカ,Storm Cat,Storm Bird,Northern Dancer,Nearctic
,,,,Natalma
,,,South Ocean,New Providence
,,,,Shining Sun
,,Terlingua,Secretariat,Bold Ruler
,,,,Somethingroyal
,,,Crimson Saint,Crimson Satan
,,,,Bolero Rose
,Island Jamboree,Explodent,Nearctic,Nearco
,,,,Lady Angela
,,,Venomous,Mel Hash
,,,,Spiteful Sue
,,Careless Virgin,Wing Out,Boldnesian
,,,,Toulousette
,,,Careless Notion,Jester
,,,,Miss Uppity
