フリオーソ,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,ファーザ,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Baya,Nureyev,Northern Dancer
,,,,Special
,,,Barger,Riverman
,,,,Trillion
ミュトスレディ,ゼンノロブロイ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ローミンレイチェル,マイニング,Mr. Prospector
,,,,I Pass
,,,One Smart Lady,Clever Trick
,,,,Pia's Lady
,レディマールボロ,Smoke Glacken,Two Punch,Mr. Prospector
,,,,Heavenly Cause
,,,Majesty's Crown,Magesterial
,,,,Queen's Crown
,,Lady Doc,Doc's Leader,Mr. Leader
,,,,With Patience
,,,Swift Passage,Coastal
,,,,Joy Lutza
