フリオーソ,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,ファーザ,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Baya,Nureyev,Northern Dancer
,,,,Special
,,,Barger,Riverman
,,,,Trillion
シャンハイロック,ロックオブジブラルタル,デインヒル,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Razyana,His Majesty
,,,,Spring Adieu
,,Offshore Boom,Be My Guest,Northern Dancer
,,,,What a Treat
,,,Push a Button,Bold Lad
,,,,River Lady
,ニシノローズ,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Barmistress,Alydar,Raise a Native
,,,,Sweet Tooth
,,,Bemissed,Nijinsky
,,,,Bemis Heights
