ヴィクトワールピサ,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,ホワイトウォーターアフェア,Machiavellian,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Coup de Folie,Halo
,,,,Raise the Standard
,,Much Too Risky,Bustino,Busted
,,,,Ship Yard
,,,Short Rations,Lorenzaccio
,,,,Short Commons
ボニーアクション,Cat Thief,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Train Robbery,Alydar,Raise a Native
,,,,Sweet Tooth
,,,Track Robbery,No Robbery
,,,,Left At Home
,メインリー,Wild Again,Icecapade,Nearctic
,,,,Shenanigans
,,,Bushel-n-Peck,Khaled
,,,,Dama
,,Primarily,Lord at War,General
,,,,Luna de Miel
,,,Mostly,Grey Dawn
,,,,Rare Relish
