エクラヴァンクール,フォーティナイナー,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,File,Tom Rolfe,Ribot
,,,,Pocahontas
,,,Continue,Double Jay
,,,,Courtesy
,スイートウインク,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,シバスキー,マルゼンスキー,Nijinsky
,,,,シル
,,,クリプシー,アローエクスプレス
,,,,モンタロッチ
リリカルハーモニー,マイネルラヴ,Seeking the Gold,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Con Game,Buckpasser
,,,,Broadway
,,Heart of Joy,リィフォー,Lyphard
,,,,Klaizia
,,,Mythographer,Secretariat
,,,,Arachne
,フェアシャーリー,Shirley Heights,Mill Reef,Never Bend
,,,,Milan Mill
,,,Hardiemma,ハーディカヌート
,,,,Grand Cross
,,Fairy Dancer,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Fairy Bridge,Bold Reason
,,,,Special
