トーセンジョーダン,ジャングルポケット,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,ダンスチャーマー,Nureyev,Northern Dancer
,,,,Special
,,,Skillful Joy,Nodouble
,,,,Skillful Miss
,エヴリウィスパー,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,クラフテイワイフ,Crafty Prospector,Mr. Prospector
,,,,Real Crafty Lady
,,,Wife Mistress,Secretariat
,,,,Political Payoff
ガッテンハピネス,チチカステナンゴ,Smadoun,Kaldoun,Caro
,,,,Katana
,,,Mossma,Tip Moss
,,,,Ticma
,,スマラ,Antheus,Northern Dancer
,,,,Apachee
,,,Small Partie,Fabulous Dancer
,,,,Summer Parties
,サイレントハピネス,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,レガシーオブストレングス,Affirmed,Exclusive Native
,,,,Won't Tell You
,,,Katonka,Minnesota Mac
,,,,Minnetonka
