グラスワンダー,Silver Hawk,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Gris Vitesse,Amerigo,Nearco
,,,,Sanlinea
,,,Matchiche,Mat de Cocagne
,,,,Chimere Fabuleuse
,Ameriflora,Danzig,Northern Dancer,Nearctic
,,,,Natalma
,,,Pas de Nom,Admiral's Voyage
,,,,Petitioner
,,Graceful Touch,His Majesty,Ribot
,,,,Flower Bowl
,,,Pi Phi Gal,Raise a Native
,,,,Soaring
リアリティー,アドマイヤマックス,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ダイナシュート,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,シヤダイマイン,ヒッティングアウェー
,,,,ファンシミン
,アドマイヤセレッソ,サクラローレル,Rainbow Quest,Blushing Groom
,,,,I Will Follow
,,,ローラローラ,Saint Cyrien
,,,,Bold Lady
,,スターアドマイヤ,トニービン,カンパラ
,,,,Severn Bridge
,,,ダンスロマンス,Northern Dancer
,,,,Blue Tepee
