ゴールドシップ,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,ポイントフラッグ,メジロマックイーン,メジロティターン,メジロアサマ
,,,,シエリル
,,,メジロオーロラ,リマンド
,,,,メジロアイリス
,,パストラリズム,プルラリズム,The Minstrel
,,,,Cambretta
,,,トクノエイティー,トライバルチーフ
,,,,アイアンルビー
ローマンブリッジ,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,メインリー,Wild Again,Icecapade,Nearctic
,,,,Shenanigans
,,,Bushel-n-Peck,Khaled
,,,,Dama
,,Primarily,Lord at War,General
,,,,Luna de Miel
,,,Mostly,Grey Dawn
,,,,Rare Relish
