カジノドライヴ,Mineshaft,A.P. Indy,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Prospectors Delite,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Up the Flagpole,Hoist the Flag
,,,,The Garden Club
,Better Than Honour,Deputy Minister,Vice Regent,Northern Dancer
,,,,Victoria Regina
,,,Mint Copy,Bunty's Flight
,,,,Shakney
,,Blush With Pride,Blushing Groom,Red God
,,,,Runaway Bride
,,,Best in Show,Traffic Judge
,,,,Stolen Hour
テーオーディオネ,ヴァーミリアン,エルコンドルパサー,Kingmambo,Mr. Prospector
,,,,Miesque
,,,サドラーズギャル,Sadler's Wells
,,,,Glenveagh
,,スカーレットレディ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,スカーレットローズ,ノーザンテースト
,,,,スカーレットインク
,ヴァリッドアンセム,Valid Appeal,In Reality,Intentionally
,,,,My Dear Girl
,,,Desert Trial,Moslem Chief
,,,,Scotch Verdict
,,Indian Anthem,Oh Say,Hoist the Flag
,,,,Light Hearted
,,,Rajputana,Raja Baba
,,,,Never Tarry
