キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Miesque,Nureyev,Northern Dancer
,,,,Special
,,,Pasadoble,Prove Out
,,,,Santa Quilla
,マンファス,ラストタイクーン,トライマイベスト,Northern Dancer
,,,,Sex Appeal
,,,Mill Princess,Mill Reef
,,,,Irish Lass
,,Pilot Bird,Blakeney,Hethersett
,,,,Windmill Girl
,,,The Dancer,Green Dancer
,,,,Khazaeen
リトルダーリン,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,エリモエクセル,ロドリゴデトリアーノ,El Gran Senor,Northern Dancer
,,,,Sex Appeal
,,,Hot Princess,ホットスパーク
,,,,Aspara
,,エリモファンタジー,Riverman,Never Bend
,,,,River Lady
,,,Share the Fantasy,Exclusive Native
,,,,Misukaw
