サウスヴィグラス,エンドスウィープ,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Broom Dance,Dance Spell,Northern Dancer
,,,,Obeah
,,,Witching Hour,Thinking Cap
,,,,Enchanted Eve
,ダーケストスター,Star de Naskra,Naskra,Nasram
,,,,Iskra
,,,Candle Star,Clandestine
,,,,Star Minstrel
,,Minnie Riperton,Cornish Prince,Bold Ruler
,,,,Teleran
,,,English Harbor,War Admiral
,,,,Level Sands
ハイライトリール,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,ハッピーリクエスト,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,エイプリルソネット,Dike,Herbager
,,,,Delta
,,,Pass Me,Pass
,,,,Schooner
