アドマイヤムーン,エンドスウィープ,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Broom Dance,Dance Spell,Northern Dancer
,,,,Obeah
,,,Witching Hour,Thinking Cap
,,,,Enchanted Eve
,マイケイティーズ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ケイティーズファースト,Kris,Sharpen Up
,,,,Doubly Sure
,,,Katies,ノノアルコ
,,,,Mortefontaine
エキゾーストタイム,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,スーパードレス,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Decorated Image,Well Decorated,Raja Baba
,,,,Paris Breeze
,,,Julie's Image,ダンサーズイメージ
,,,,Lady Juliet
