ルーラーシップ,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,エアグルーヴ,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,ダイナカール,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,シャダイフェザー,ガーサント
,,,,パロクサイド
ヒーラ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,セントフロンティア,デインヒル,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Razyana,His Majesty
,,,,Spring Adieu
,,Cashelmara,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Beaming,Mtoto
,,,,Glancing
