パイロ,Pulpit,A.P. Indy,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Preach,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Narrate,Honest Pleasure
,,,,State
,Wild Vision,Wild Again,Icecapade,Nearctic
,,,,Shenanigans
,,,Bushel-n-Peck,Khaled
,,,,Dama
,,Carol's Wonder,Pass the Tab,Al Hattab
,,,,Dantina
,,,Carols Christmas,Whitesburg
,,,,Light Verse
スターエンジェル,アフリート,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Polite Lady,Venetian Jester,Tom Fool
,,,,Venice
,,,Friendly Ways,Green Ticket
,,,,Ways to Learn
,コマーズ,Danzig,Northern Dancer,Nearctic
,,,,Natalma
,,,Pas de Nom,Admiral's Voyage
,,,,Petitioner
,,ミドルマーチ,Buckpasser,Tom Fool
,,,,Busanda
,,,Nice Princess,Le Beau Prince
,,,,Happy Night
