シンボリクリスエス,Kris S.,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Sharp Queen,Princequillo,Prince Rose
,,,,Cosquilla
,,,Bridgework,Occupy
,,,,Feale Bridge
,Tee Kay,Gold Meridian,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Queen Louie,Crimson Satan
,,,,Reagent
,,Tri Argo,Tri Jet,Jester
,,,,Haze
,,,Hail Proudly,Francis S.
,,,,Spanglet
オレゴントレイル,ダンスインザダーク,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ダンシングキイ,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Key Partner,Key to the Mint
,,,,Native Partner
,ハッピートレイルズ,ポツセ,Forli,Aristophanes
,,,,Trevisa
,,,In Hot Pursuit,Bold Ruler
,,,,Lady Be Good
,,ロイコン,High Top,Derring-Do
,,,,Camenae
,,,Madelon,セントクレスピン
,,,,Azurine
