ゴールドアリュール,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ニキーヤ,Nureyev,Northern Dancer,Nearctic
,,,,Natalma
,,,Special,Forli
,,,,Thong
,,Reluctant Guest,Hostage,Nijinsky
,,,,Entente
,,,Vaguely Royal,Vaguely Noble
,,,,Shoshanna
レッドプライム,スペシャルウィーク,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,キャンペンガール,マルゼンスキー,Nijinsky
,,,,シル
,,,レディーシラオキ,セントクレスピン
,,,,ミスアシヤガワ
,スプラッシュクイン,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,ダイナマーメイド,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,シヤダイマイン,ヒッティングアウェー
,,,,ファンシミン
