ワールドエース,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,マンデラ,Acatenango,Surumu,Literat
,,,,Surama
,,,Aggravate,Aggressor
,,,,Raven Locks
,,Mandellicht,Be My Guest,Northern Dancer
,,,,What a Treat
,,,Mandelauge,Elektrant
,,,,Mandriale
リアクションレート,スウェプトオーヴァーボード,エンドスウィープ,フォーティナイナー,Mr. Prospector
,,,,File
,,,Broom Dance,Dance Spell
,,,,Witching Hour
,,Sheer Ice,Cutlass,Damascus
,,,,Aphonia
,,,Hey Dolly A.,Ambehaving
,,,,Swift Deal
,カタリスト,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Welsh Love,Ela-Mana-Mou,ピットカーン
,,,,Rose Bertin
,,,Welsh Flame,Welsh Pageant
,,,,Electric Flash
