テイエムオペラオー,オペラハウス,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Colorspin,High Top,Derring-Do
,,,,Camenae
,,,Reprocolor,Jimmy Reppin
,,,,Blue Queen
,ワンスウエド,Blushing Groom,Red God,Nasrullah
,,,,Spring Run
,,,Runaway Bride,Wild Risk
,,,,Aimee
,,Noura,Key to the Kingdom,Bold Ruler
,,,,Key Bridge
,,,River Guide,Drone
,,,,Blue Canoe
テイエムテンモン,バゴ,Nashwan,Blushing Groom,Red God
,,,,Runaway Bride
,,,Height of Fashion,Bustino
,,,,Highclere
,,Moonlight's Box,Nureyev,Northern Dancer
,,,,Special
,,,Coup de Genie,Mr. Prospector
,,,,Coup de Folie
,テイエムオペレッタ,アドマイヤベガ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ベガ,トニービン
,,,,アンティックヴァリュー
,,プレジャーコネクション,Danzig Connection,Danzig
,,,,Gdynia
,,,Princess Fager,Dr. Fager
,,,,Princess Roycraft
