クロフネ,フレンチデピュティ,Deputy Minister,Vice Regent,Northern Dancer
,,,,Victoria Regina
,,,Mint Copy,Bunty's Flight
,,,,Shakney
,,Mitterand,Hold Your Peace,Speak John
,,,,Blue Moon
,,,Laredo Lass,Bold Ruler
,,,,Fortunate Isle
,ブルーアヴェニュー,Classic Go Go,Pago Pago,Matrice
,,,,Pompilia
,,,Classic Perfection,Never Bend
,,,,Mira Femme
,,Eliza Blue,Icecapade,Nearctic
,,,,Shenanigans
,,,コレラ,Roberto
,,,,Catania
レースオブスターズ,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,ミルレーサー,Le Fabuleux,Wild Risk,Rialto
,,,,Wild Violet
,,,Anguar,Verso
,,,,La Rochelle
,,Marston's Mill,In Reality,Intentionally
,,,,My Dear Girl
,,,Millicent,Cornish Prince
,,,,Milan Mill
