サウスヴィグラス,エンドスウィープ,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Broom Dance,Dance Spell,Northern Dancer
,,,,Obeah
,,,Witching Hour,Thinking Cap
,,,,Enchanted Eve
,ダーケストスター,Star de Naskra,Naskra,Nasram
,,,,Iskra
,,,Candle Star,Clandestine
,,,,Star Minstrel
,,Minnie Riperton,Cornish Prince,Bold Ruler
,,,,Teleran
,,,English Harbor,War Admiral
,,,,Level Sands
マキハタターキー,サザンヘイロー,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Northern Sea,Northern Dancer,Nearctic
,,,,Natalma
,,,Sea Saga,Sea-Bird
,,,,Shama
,シンミスアンサー,ノーザンアンサー,Northern Dancer,Nearctic
,,,,Natalma
,,,Windy Answer,Windfields
,,,,Reply
,,ブラウンデージ,ボンモー,Worden
,,,,Djebel Idra
,,,コマンチ,ムーティエ
,,,,ケンエイ
