ダンカーク,Unbridled's Song,Unbridled,Fappiano,Mr. Prospector
,,,,Killaloe
,,,Gana Facil,Le Fabuleux
,,,,Charedi
,,Trolley Song,Caro,フォルティノ
,,,,Chambord
,,,Lucky Spell,Lucky Mel
,,,,Incantation
,Secret Status,A.P. Indy,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Private Status,Alydar,Raise a Native
,,,,Sweet Tooth
,,,Miss Eva,Con Brio
,,,,Apolinea
トランシーフレーズ,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,アンスチュアート,Lyphard,Northern Dancer,Nearctic
,,,,Natalma
,,,Goofed,Court Martial
,,,,Barra
,,Miss Carmie,T.V. Lark,Indian Hemp
,,,,Miss Larksfly
,,,Twice Over,Ponder
,,,,Twosy
