ヴァーミリアン,エルコンドルパサー,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,サドラーズギャル,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Glenveagh,Seattle Slew
,,,,Lisadell
,スカーレットレディ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,スカーレットローズ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,スカーレットインク,Crimson Satan
,,,,Consentida
クラキンコ,クラキングオー,スズカコバン,マルゼンスキー,Nijinsky
,,,,シル
,,,サリュウコバン,ネヴァービート
,,,,モンテホープ
,,クラファストレディ,シングルロマン,ナイスダンサー
,,,,ヒジリジョオー
,,,カネイゼーア,オンワードゼア
,,,,クヰーンカヌート
,クラシャトル,ワカオライデン,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,オキワカ,リマンド
,,,,ワカクモ
,,クラネバダンサー,ネヴァーダンス,Never Bend
,,,,Exclusive Dancer
,,,ブラックキリー,テッソ
,,,,マツリュウ
