シンボリクリスエス,Kris S.,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Sharp Queen,Princequillo,Prince Rose
,,,,Cosquilla
,,,Bridgework,Occupy
,,,,Feale Bridge
,Tee Kay,Gold Meridian,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Queen Louie,Crimson Satan
,,,,Reagent
,,Tri Argo,Tri Jet,Jester
,,,,Haze
,,,Hail Proudly,Francis S.
,,,,Spanglet
ピエナアプローズ,フジキセキ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ミルレーサー,Le Fabuleux,Wild Risk
,,,,Anguar
,,,Marston's Mill,In Reality
,,,,Millicent
,ピエナマーメイド,タイキシャトル,Devil's Bag,Halo
,,,,Ballade
,,,ウェルシュマフィン,Caerleon
,,,,Muffitys
,,グリンパサー,Vice Regent,Northern Dancer
,,,,Victoria Regina
,,,パスオールホープ,Damascus
,,,,Pass all Flags
