ディープインパクト,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ウインドインハーヘア,Alzao,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Rebecca,Sir Ivor
,,,,Pocahontas
,,Burghclere,Busted,Crepello
,,,,Sans le Sou
,,,Highclere,Queen's Hussar
,,,,Highlight
オールウェイズウィリング,Elusive Quality,Gone West,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Secrettame,Secretariat
,,,,Tamerett
,,Touch of Greatness,Hero's Honor,Northern Dancer
,,,,Glowing Tribute
,,,Ivory Wand,Sir Ivor
,,,,Natashka
,Always Loyal,Zilzal,Nureyev,Northern Dancer
,,,,Special
,,,French Charmer,Le Fabuleux
,,,,Bold Example
,,Balbonella,ゲイメセン,Vaguely Noble
,,,,Gay Missile
,,,Bamieres,Riverman
,,,,Bergamasque
