アルデバランＩＩ,Mr. Prospector,Raise a Native,Native Dancer,Polynesian
,,,,Geisha
,,,Raise You,Case Ace
,,,,Lady Glory
,,Gold Digger,Nashua,Nasrullah
,,,,Segula
,,,Sequence,Count Fleet
,,,,Miss Dogwood
,Chimes of Freedom,Private Account,Damascus,Sword Dancer
,,,,Kerala
,,,Numbered Account,Buckpasser
,,,,Intriguing
,,Aviance,Northfields,Northern Dancer
,,,,Little Hut
,,,Minnie Hauk,Sir Ivor
,,,,Best in Show
ジェニュラビーン,ジェニュイン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,クルーピアレディー,What Luck,Bold Ruler
,,,,Irish Jay
,,,Question d'Argent,Tentam
,,,,Cold Reply
,ガルチズラビーン,Gulch,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Jameela,Rambunctious
,,,,Asbury Mary
,,Spectacular Bev,Spectacular Bid,Bold Bidder
,,,,Spectacular
,,,Bev Bev,Nijinsky
,,,,Native Partner
