ビービーガルダン,チーフベアハート,Chief's Crown,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Six Crowns,Secretariat
,,,,Chris Evert
,,Amelia Bearhart,Bold Hour,Bold Ruler
,,,,Seven Thirty
,,,Myrtlewood Lass,Ribot
,,,,Gold Digger
,オールザチャット,Westminster,Grosvenor,Sir Tristram
,,,,My Tricia
,,,Apple Blossom,Bismark
,,,,Mary Poppins
,,Rory's Helen,Rory's Jester,Crown Jester
,,,,Rory's Rocket
,,,Helen's Love,Karayar
,,,,Helen of Troy
リーガルアミューズ,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,リーガルジョイ,Regal and Royal,Vaguely Noble,ヴィエナ
,,,,Noble Lassie
,,,Native Street,Native Dancer
,,,,Beaver Street
,,Nanna's Joy's,Tentam,Intentionally
,,,,Tamerett
,,,Fair Advantage,Raja Baba
,,,,Close Control
