メイショウボーラー,タイキシャトル,Devil's Bag,Halo,Hail to Reason
,,,,Cosmah
,,,Ballade,Herbager
,,,,Miss Swapsco
,,ウェルシュマフィン,Caerleon,Nijinsky
,,,,Foreseer
,,,Muffitys,Thatch
,,,,Contrail
,ナイスレイズ,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Nice Tradition,Search Tradition,Nashua
,,,,Searching
,,,Nice Dancing,Kazan
,,,,Nice
トーホウハヤカゼ,エリシオ,Fairy King,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Helice,Slewpy,Seattle Slew
,,,,Rare Bouquet
,,,Hirondelle,Val de l'Orne
,,,,Hermanville
,ウェディングベリー,スキャン,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Video,Nijinsky
,,,,Foreseer
,,アルガリー,Blushing Groom,Red God
,,,,Runaway Bride
,,,シンティレート,Sparkler
,,,,Set Free
