プリサイスエンド,エンドスウィープ,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Broom Dance,Dance Spell,Northern Dancer
,,,,Obeah
,,,Witching Hour,Thinking Cap
,,,,Enchanted Eve
,Precisely,Summing,Verbatim,Speak John
,,,,Well Kept
,,,Sumatra,Groton
,,,,Sunda Strait
,,Crisp 'n Clear,Cold Reception,Secretariat
,,,,Cold Comfort
,,,Ring O'Bells,Grey Dawn
,,,,Aldonza
ティーブラウニー,ホワイトマズル,ダンシングブレーヴ,Lyphard,Northern Dancer
,,,,Goofed
,,,Navajo Princess,Drone
,,,,Olmec
,,Fair of the Furze,Ela-Mana-Mou,ピットカーン
,,,,Rose Bertin
,,,Autocratic,Tyrant
,,,,Flight Table
,エリモセレブ,ダンスインザダーク,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ダンシングキイ,Nijinsky
,,,,Key Partner
,,エリモシューテング,テスコボーイ,Princely Gift
,,,,Suncourt
,,,デプグリーフ,Vaguely Noble
,,,,デプス
