グランデッツァ,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,マルバイユ,Marju,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Flame of Tara,アーテイアス
,,,,Welsh Flame
,,Hambye,Distant Relative,Habitat
,,,,Royal Sister
,,,Paglietta Gener,Final Straw
,,,,Miss Puddleduck
ウォータームーン,サンダーガルチ,Gulch,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Jameela,Rambunctious
,,,,Asbury Mary
,,Line of Thunder,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Shoot a Line,High Line
,,,,Death Ray
,シュミーダー,Alydar,Raise a Native,Native Dancer
,,,,Raise You
,,,Sweet Tooth,On-And-On
,,,,Plum Cake
,,Shimmy,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Amalesian,Ambiorix
,,,,Alanesian
